ADM3_PCODE,ADM3_EN,sum_10,sum_11,sum_12,sum_13,sum_21,sum_22,sum_23,sum_30,year,total,perc_10,perc_11,perc_12,perc_13,perc_21,perc_22,perc_23,perc_30,perc_total
PK20101,Awaran,0.0,2594.52888,2379.45696,3417.99176,0.0,5961.22831,0.0,0.0,1975,14353.205909999999,0.0,0.1807630223009878,0.16577877966219465,0.23813437788269007,0.0,0.41532382015412755,0.0,0.0,1.0
PK20102,Jhal Jhao,0.0,6513.51907,22728.29292,5181.57696,0.0,0.0,0.0,0.0,1975,34423.38895,0.0,0.18921783324299918,0.6602572731294081,0.15052489362759272,0.0,0.0,0.0,0.0,1.0
PK20103,Mashkai,0.0,3001.88923,11217.0356,1527.26798,0.0,0.0,0.0,0.0,1975,15746.19281,0.0,0.19064222483631585,0.7123649338827065,0.09699284128097756,0.0,0.0,0.0,0.0,0.9999999999999999
PK20104,Gishekore,0.0,1329.95277,8205.93955,1052.98182,0.0,0.0,0.0,0.0,1975,10588.87414,0.0,0.12559907242414348,0.7749586444702042,0.09944228310565224,0.0,0.0,0.0,0.0,1.0
PK20503,Ormara,0.0,705.80862,7164.02896,3197.60832,0.0,0.0,0.0,0.0,1975,11067.445899999999,0.0,0.06377339689548427,0.647306435895928,0.2889201672085879,0.0,0.0,0.0,0.0,1.0
PK20504,Pasni,0.0,3956.864,11965.96289,9475.54353,0.0,6904.96458,0.0,0.0,1975,32303.335,0.0,0.12249088213337725,0.37042500070039214,0.29333019423536305,0.0,0.21375392293086767,0.0,0.0,1.0
PK21103,Kech (Turbat),0.0,10331.85697,25742.92639,7094.80186,4056.30846,0.0,0.0,97487.99743,1975,144713.89111,0.0,0.07139506021675932,0.1778884265535523,0.049026405174933035,0.028029848612920766,0.0,0.0,0.6736602594418346,1.0
PK21303,Naal,0.0,15964.58776,30166.7848,3602.98157,0.0,0.0,0.0,0.0,1975,49734.35413000001,0.0,0.3209971867387755,0.6065582900935522,0.07244452316767222,0.0,0.0,0.0,0.0,1.0
PK21304,Wadh,0.0,14516.10065,34016.08032,6008.74871,6377.76926,0.0,5466.16307,0.0,1975,66384.86201,0.0,0.21866582546806143,0.5124071857658743,0.09051383896971664,0.09607264467973547,0.0,0.0823405051166122,0.0,1.0
PK21701,Bela,0.0,5584.02158,31820.61725,5979.6627,0.0,19273.40347,0.0,0.0,1975,62657.705,0.0,0.08911947189894681,0.5078484322079783,0.09543379700868393,0.0,0.307598298884391,0.0,0.0,1.0
PK21707,Uthal,0.0,7041.88862,12016.06841,3786.10596,0.0,0.0,0.0,0.0,1975,22844.06299,0.0,0.3082590265611941,0.526003995666622,0.16573697777218396,0.0,0.0,0.0,0.0,1.0
