ADM1_PCODE,ADM1_EN,sum_10,sum_11,sum_12,sum_13,sum_21,sum_22,sum_23,sum_30,year,total,perc_10,perc_11,perc_12,perc_13,perc_21,perc_22,perc_23,perc_30,perc_total
PK2,Balochistan,0.0,480851.66249,1533752.39176,488477.68312,256159.87028,158460.40003,552060.51545,622074.84475,1975,4091837.3678800003,0.0,0.11751485195002544,0.3748321973399065,0.11937856742656479,0.06260265187731975,0.03872597705712313,0.13491751157647427,0.15202824277258603,0.9999999999999998
PK4,Islamabad,0.0,6695.27086,33303.52417,21852.4038,90604.33736,19066.11782,61627.87136,48257.91479,1975,281407.44016,0.0,0.0237920889944959,0.11834628164438223,0.07765396603435704,0.3219685211893653,0.0677527140332877,0.21899872769874243,0.17148770040536943,1.0
PK5,Khyber Pakhtunkhwa,0.0,444773.75007,2097231.10566,1317087.82298,1295115.65377,497529.26201,2245550.35607,1960260.47489,1975,9857548.425449999,0.0,0.04512011819507709,0.2127538222632937,0.1336121078116717,0.1313831388772384,0.05047190645551282,0.22780008366710006,0.1988588227301063,1.0
PK6,Punjab,0.0,1574083.18095,4816247.07338,8146802.94001,2231066.27247,1982630.37898,4779818.78726,13288373.81832,1975,36819022.45137,0.0,0.04275190040770433,0.13080866228160254,0.22126613901197872,0.060595478204690474,0.05384799071182913,0.12981927463101745,0.36091055475117734,1.0
PK7,Sindh,0.0,659660.93721,4167178.56788,2067480.05165,337377.5883,397615.85606,1007315.67313,6531002.18503,1975,15167630.85926,0.0,0.04349136284571891,0.2747415602704949,0.1363087004710285,0.022243262077678228,0.026214763515110952,0.06641219597687024,0.43058815484309826,1.0
PK2,Balochistan,0.0,481775.75438,1673194.05407,547831.99641,282689.56514,182335.77687,581103.60733,931546.05494,1980,4680476.8091400005,0.0,0.10293305020531068,0.35748367576623796,0.11704619395617936,0.06039759978897148,0.03895666708868978,0.12415478828892501,0.1990280249056856,1.0
PK4,Islamabad,0.0,5708.37952,32370.08716,12931.59065,149327.28963,0.0,95370.29154,63374.78144,1980,359082.41994,0.0,0.015897128912503788,0.090146677649685,0.0360128759635762,0.4158579794993904,0.0,0.2655944324869362,0.17649090548790847,1.0
PK5,Khyber Pakhtunkhwa,0.0,432038.42264,2253691.92307,1387556.74896,1989259.01678,549087.36323,2770641.31552,2367183.29231,1980,11749458.08251,0.0,0.03677092335714814,0.19181241443167488,0.11809538271603251,0.16930644824727445,0.04673299477933881,0.235810136609136,0.20147169985939523,1.0
PK6,Punjab,0.0,1553329.39465,5821087.32662,8711455.03055,3586190.95872,2625887.5937,5286216.99195,15900783.76059,1980,43484951.05678,0.0,0.03572107952063133,0.13386441021904746,0.20033263965676565,0.08246970208239099,0.060386122782368455,0.12156428519483854,0.3656617605439575,0.9999999999999999
PK7,Sindh,0.0,612385.60314,4598661.71148,2421899.25315,647279.83364,643545.06263,1178460.56044,8051817.91651,1980,18154049.94099,0.0,0.033732726588864094,0.25331326764154644,0.1334082070404355,0.03565484482768266,0.03544911822551179,0.06491447166172853,0.44352736401423093,1.0
PK2,Balochistan,0.0,474621.17785,1833619.41422,621419.94552,377883.61198,197733.9081,618432.93814,1270907.34143,1985,5394618.33724,0.0,0.08798049244255268,0.3398978944557027,0.11519256908875808,0.07004825705118059,0.03665391983989081,0.11463886775285816,0.23558799936905692,1.0
PK4,Islamabad,0.0,4952.98349,32401.74414,10435.28058,181906.46801,0.0,15000.9645,228734.60687,1985,473432.04759,0.0,0.010461867791192212,0.0684401157567188,0.02204177058380536,0.38422930795663846,0.0,0.03168557045591279,0.48314136745573244,1.0
PK5,Khyber Pakhtunkhwa,0.0,412879.63419,2317141.08992,1386007.49927,2729049.35908,803369.17367,3263240.95584,3501155.13385,1985,14412842.845820002,0.0,0.028646647896375485,0.1607691913876668,0.09616475487151853,0.18934844348708596,0.05573981359985427,0.22641202646474437,0.24291912229275442,0.9999999999999998
PK6,Punjab,0.0,1447364.97263,6728010.63929,9126684.03545,6050272.85353,3252649.78627,6429537.24412,19461277.5377,1985,52495797.06899001,0.0,0.027571063845889837,0.12816284378819975,0.17385551882288228,0.11525251908412264,0.061960194298895314,0.12247718109071282,0.3707206790692973,0.9999999999999999
PK7,Sindh,0.0,566851.54321,4862350.54495,2684781.86815,1466316.30229,1075658.40564,1394727.15575,9696048.56858,1985,21746734.388570003,0.0,0.026066053554594154,0.2235899173673465,0.12345678298996059,0.06742696517508809,0.04946298540370097,0.0641350158984359,0.4458622796108736,0.9999999999999998
PK2,Balochistan,0.0,468203.63332,1947361.68684,726435.66136,453944.27961,217919.60638,747313.70973,1538859.56649,1990,6100038.143730001,0.0,0.07675421403737433,0.3192376245780725,0.1190870686778698,0.0744166296856016,0.035724302249485335,0.12250967815637934,0.25227048261521706,1.0
PK4,Islamabad,0.0,4148.55739,36211.30516,13697.7149,191775.22152,0.0,44321.43027,325811.67966,1990,615965.9089,0.0,0.0067350438231371405,0.05878783977617629,0.022237780861057002,0.31134064198857153,0.0,0.07195435596289701,0.528944337588161,1.0
PK5,Khyber Pakhtunkhwa,0.0,396240.07319,2318288.34119,1422682.8861,3541476.50263,897600.19493,3858857.25602,4987332.60493,1990,17422477.85899,0.0,0.022743037838647052,0.13306306714539823,0.081657896059021,0.20327054115339846,0.051519663402346545,0.2214872813874078,0.286258513013781,1.0
PK6,Punjab,0.0,1345937.73318,7119544.22273,8623442.56439,10120708.16718,3897282.90464,8168027.78399,23252257.76947,1990,62527201.14558,0.0,0.021525635379813307,0.11386315223279868,0.13791505786917163,0.16186088585056432,0.06232939957709103,0.13063159128093152,0.37187427780962945,0.9999999999999999
PK7,Sindh,0.0,530614.47518,4934865.87463,2808008.47011,2747922.21506,1336966.18639,1957875.02953,11417483.66588,1990,25733735.916780002,0.0,0.020619410912428235,0.19176639919632343,0.10911779304764697,0.10678287147837648,0.051953831760518474,0.0760820362757101,0.4436776573289962,0.9999999999999999
PK2,Balochistan,0.0,461008.32046,2023657.33809,766338.25601,480064.134,275181.96056,590109.87012,2069235.48703,1995,6665595.36627,0.0,0.06916236211889586,0.30359738731371844,0.11496921338608575,0.07202119354998278,0.04128392820729966,0.08853070696522335,0.3104352084587942,1.0
PK4,Islamabad,0.0,4021.98534,34294.75417,11223.99546,146757.31497,1115.50004,72055.84362,508709.77711,1995,778179.17071,0.0,0.0051684566888759,0.04407051160044535,0.014423407722105156,0.18859064916386883,0.001433474554429712,0.09259544116846155,0.6537180591018136,1.0
PK5,Khyber Pakhtunkhwa,0.0,389035.55997,2325344.17785,1369857.51569,4044294.38406,970428.58387,4557471.27728,6686721.24823,1995,20343152.74695,0.0,0.01912366115563514,0.11430598820031145,0.0673375229852403,0.1988037171212978,0.04770295912050771,0.2240297427822878,0.3286964086347198,1.0
PK6,Punjab,0.0,1297818.11364,7404667.86641,8072171.94077,12512360.02041,4256220.61313,9826530.38271,28830525.88061,1995,72200294.81768,0.0,0.017975246734341557,0.1025573079044656,0.11180247893937037,0.1733006776773721,0.05895018329049483,0.13610097309884855,0.399313132355107,1.0
PK7,Sindh,0.0,502335.09543,5013514.83753,2842761.12092,3693643.76377,1374284.33834,2180432.95939,14170134.87963,1995,29777106.99501,0.0,0.016869842174868786,0.1683680969534803,0.09546800907812789,0.12404306987878222,0.046152379362115345,0.07322514439550469,0.4758734581571208,1.0
