ADM2_PCODE,ADM2_EN,sum_10,sum_11,sum_12,sum_13,sum_21,sum_22,sum_23,sum_30,year,total,perc_10,perc_11,perc_12,perc_13,perc_21,perc_22,perc_23,perc_30,perc_total
PK201,Awaran,0.0,13439.88995,44530.72503,11179.81853,0.0,5961.22831,0.0,0.0,1975,75111.66182000001,0.0,0.17893213416323797,0.5928603355456954,0.1488426465226089,0.0,0.07936488376845767,0.0,0.0,0.9999999999999999
PK202,Barkhan,0.0,13283.40794,52011.58466,0.0,0.0,0.0,0.0,0.0,1975,65294.9926,0.0,0.20343685497255112,0.7965631450274488,0.0,0.0,0.0,0.0,0.0,1.0
PK203,Chagai,0.0,10631.74798,35426.35112,9836.17317,0.0,13204.44818,0.0,0.0,1975,69098.72045,0.0,0.1538631672303275,0.5126918543395401,0.14234957038195056,0.0,0.1910954080481819,0.0,0.0,1.0000000000000002
PK204,Dera Bugti,0.0,11727.41545,61562.7639,22658.11866,2818.08624,0.0,15791.40861,0.0,1975,114557.79286,0.0,0.10237117141678842,0.5373948149929466,0.19778766764204572,0.024599690423888987,0.0,0.13784665552433026,0.0,1.0
PK205,Gwadar,0.0,7052.61509,25291.04726,20583.59639,2729.76185,6904.96458,44022.25348,0.0,1975,106584.23865,0.0,0.06616939970983224,0.2372869345443319,0.19312045243004602,0.02561130880677356,0.06478410567508426,0.413027798833932,0.0,1.0
PK206,Harnai,0.0,6927.66073,27814.94946,5599.0518,2766.33027,0.0,6533.38137,0.0,1975,49641.37363,0.0,0.13955417071322487,0.5603178845798591,0.11279002554869472,0.05572630384120174,0.0,0.1316116153170196,0.0,0.9999999999999999
PK207,Jaffarabad,0.0,15695.71638,101994.93142,12728.59718,11621.47976,0.0,54899.00337,0.0,1975,196939.72810999997,0.0,0.07969807072767571,0.5178992192120377,0.06463194248389786,0.05901033718046399,0.0,0.2787604303959248,0.0,1.0000000000000002
PK208,Jhal Magsi,0.0,12942.62564,42476.90861,15112.46599,0.0,0.0,0.0,0.0,1975,70532.00024,0.0,0.18350005098338326,0.6022359845951252,0.21426396442149168,0.0,0.0,0.0,0.0,1.0000000000000002
PK209,Kachhi,0.0,11005.65531,67508.35414,31029.89418,3729.73166,7211.8509,7103.76845,0.0,1975,127589.25464000001,0.0,0.08625848110056801,0.5291068932919035,0.24320146917977165,0.029232333635960485,0.056523967636213784,0.05567685515558239,0.0,0.9999999999999998
PK210,Kalat,0.0,14701.07856,37464.3392,11482.44821,5635.98594,0.0,23613.23465,0.0,1975,92897.08656000001,0.0,0.15825123375107059,0.4032886346312129,0.12360396472265857,0.06066913558542927,0.0,0.25418703130962855,0.0,0.9999999999999998
PK211,Kech,0.0,16479.7633,55102.05952,65838.45472,5432.94751,11064.86989,12467.93058,97487.99743,1975,263874.02294999996,0.0,0.06245314758824388,0.20881956815597946,0.249507147327175,0.020589171488962592,0.041932395490467136,0.04724955658997354,0.36944901335919855,1.0
PK212,Kharan,0.0,9282.2054,19662.76492,2237.68161,12536.07969,0.0,26454.23206,0.0,1975,70172.96368,0.0,0.13227609200501136,0.28020428223133587,0.031888087557541224,0.17864543597113183,0.0,0.3769861022349797,0.0,1.0
PK213,Khuzdar,0.0,61505.58097,107677.46889,17874.42439,12029.87297,0.0,5466.16307,64772.58015,1975,269326.09044,0.0,0.22836844685012836,0.39980333399592494,0.06636722183431402,0.04466657110845336,0.0,0.020295705704077495,0.24049872050710186,1.0
PK214,Killa Abdullah,0.0,10316.95088,28000.04102,19231.64484,34666.74223,11542.1478,5553.551,0.0,1975,109311.07777000002,0.0,0.09438156763679303,0.25615007729513484,0.17593500340802648,0.31713841759882594,0.10558991856512183,0.050805015496097776,0.0,0.9999999999999999
PK215,Killa Saifullah,0.0,23039.26333,62420.00376,12594.46185,5688.81982,0.0,20683.61008,0.0,1975,124426.15884,0.0,0.18516414510252835,0.5016630292370118,0.10122037011682775,0.04572044876283026,0.0,0.16623200678080177,0.0,0.9999999999999998
PK216,Kohlu,0.0,11881.88306,36256.88443,8965.12407,0.0,6913.34994,0.0,0.0,1975,64017.2415,0.0,0.1856044212714164,0.566361242384991,0.14004233640713806,0.0,0.10799199993645463,0.0,0.0,1.0
PK217,Lasbela,0.0,31954.79324,72300.49443,12417.06844,8611.53925,19273.40347,0.0,52691.60928,1975,197248.90811000002,0.0,0.16200238341588047,0.366544459600659,0.06295126578381544,0.04365823533582043,0.09771107812293582,0.0,0.2671325777408887,0.9999999999999998
PK218,Lehri,0.0,3913.53058,24350.20795,23549.0846,0.0,5205.6108,0.0,0.0,1975,57018.43393,0.0,0.06863623411341913,0.4270585190027158,0.4130082672721348,0.0,0.09129697961173029,0.0,0.0,1.0
PK219,Loralai,0.0,13367.77223,28176.20413,6258.13334,3473.11056,0.0,34831.95708,0.0,1975,86107.17734,0.0,0.15524573726550633,0.3272224801742642,0.07267841698363121,0.04033473941767002,0.0,0.4045186261589283,0.0,1.0
PK220,Mastung,0.0,14728.59168,42900.51291,13886.59099,9719.40571,5885.2633,6193.90763,0.0,1975,93314.27222000001,0.0,0.15783857420304914,0.45974224402518726,0.148815295448703,0.10415776149531866,0.06306927289884187,0.06637685192889992,0.0,0.9999999999999998
PK221,Musakhel,0.0,15101.72065,56596.05264,8011.34587,0.0,5495.04196,0.0,0.0,1975,85204.16112,0.0,0.17724158599168657,0.6642404771791737,0.09402528896114551,0.0,0.06449264786799416,0.0,0.0,0.9999999999999999
PK222,Nasirabad,0.0,23154.36252,83287.33465,16334.94656,2286.16279,0.0,32644.6145,0.0,1975,157707.42102,0.0,0.14681847163719472,0.5281129709136372,0.10357753905523855,0.014496228365246522,0.0,0.20699479002868293,0.0,1.0
PK223,Nushki,0.0,7086.522,18854.11459,14980.60389,0.0,22223.35869,0.0,0.0,1975,63144.59917,0.0,0.1122268902352429,0.29858633735626894,0.23724283766009374,0.0,0.3519439347483944,0.0,0.0,1.0
PK224,Panjgur,0.0,9407.85171,12133.44443,581.49632,25292.09393,0.0,42820.50581,53786.06175,1975,144021.45395,0.0,0.0653225714084662,0.08424747908886113,0.00403756734883317,0.1756133772873913,0.0,0.2973203271844903,0.37345867768195795,1.0
PK225,Pishin,0.0,23943.85162,93435.56316,35217.66076,21591.43717,22175.71125,61987.82376,0.0,1975,258352.04771999997,0.0,0.0926791633018143,0.36165985129432676,0.1363165535973171,0.0835737024751615,0.08583524475886435,0.23993548457251612,0.0,1.0000000000000002
PK226,Quetta,0.0,7841.01924,21013.22416,5693.7693,56567.36826,6127.9499,73115.34613,212700.47747,1975,383059.15446,0.0,0.020469473575311144,0.05485634246131626,0.014863942640991126,0.147672670399284,0.01599739838782497,0.1908722067563455,0.5552679657789271,1.0
PK227,Sherani,0.0,8123.69821,34601.66934,12401.65882,0.0,0.0,0.0,0.0,1975,55127.02637000001,0.0,0.147363258004805,0.627671608981074,0.22496513301412088,0.0,0.0,0.0,0.0,0.9999999999999999
PK228,Sibi,0.0,5484.44677,8491.52807,3426.61248,4036.06714,0.0,45181.09461,0.0,1975,66619.74906999999,0.0,0.08232463866288772,0.12746262465020122,0.051435385570118605,0.06058364368438472,0.0,0.6781937074324079,0.0,1.0000000000000002
PK229,Sohbatpur,0.0,4614.15049,53292.61343,15331.75745,0.0,0.0,0.0,0.0,1975,73238.52137,0.0,0.06300168823301845,0.7276582382209281,0.20934007354605333,0.0,0.0,0.0,0.0,0.9999999999999999
PK230,Washuk,0.0,10406.13913,45755.72821,6450.55324,2692.95479,0.0,5798.95482,0.0,1975,71104.33019,0.0,0.14635028699649438,0.6435012901146071,0.09071955565523626,0.037873288206274856,0.0,0.08155557902738751,0.0,1.0
PK231,Zhob,0.0,14766.92596,40040.87208,13828.5568,2941.86631,0.0,0.0,57974.98622,1975,129553.20736999999,0.0,0.11398348415895342,0.3090689369476164,0.10674036622270622,0.02270778446725846,0.0,0.0,0.4474994282034656,1.0
PK232,Ziarat,0.0,12208.77585,22017.94044,17162.32107,0.0,0.0,0.0,0.0,1975,51389.03736,0.0,0.23757549230729547,0.42845598149184705,0.33396852620085743,0.0,0.0,0.0,0.0,1.0
PK233,Shaheed Sikandarabad,0.0,9620.95907,28542.76957,11885.4097,0.0,9271.20106,0.0,0.0,1975,59320.339400000004,0.0,0.16218651422618124,0.4811632883206329,0.20035977238525374,0.0,0.1562904250679321,0.0,0.0,0.9999999999999999
PK234,Duki,0.0,9427.38491,25293.29534,519.53435,12185.77413,0.0,26897.77438,0.0,1975,74323.76311,0.0,0.12684213655930426,0.3403123615063145,0.006990151309091863,0.16395528993822497,0.0,0.36190006068706443,0.0,1.0
