,Shape_Area,ADM2_PCODE,ADM2_EN,sum_10,sum_11,sum_12,sum_13,sum_21,sum_22,sum_23,sum_30
0,2.2567182,PK201,Awaran,0.0,13220.12306,66000.75789,38946.73684,5507.40033,0.0,6055.43312,0.0
1,0.32853547,PK202,Barkhan,0.0,11852.21284,80422.42425,13150.83856,0.0,8274.30164,0.0,0.0
2,4.1175814,PK203,Chagai,0.0,12120.31989,44723.18203,21739.65487,7137.53714,15029.24936,18826.17401,0.0
3,0.952769,PK204,Dera Bugti,0.0,10402.12227,64653.25812,34554.71199,2816.89834,12276.30886,75384.57836,0.0
4,1.038382,PK205,Gwadar,0.0,6781.18276,27179.24727,20392.62275,9266.95023,19695.75229,36033.75141,63617.03866
5,0.2867488,PK206,Harnai,0.0,6913.93413,32562.60188,11226.11898,13789.16297,7154.40084,14177.03009,0.0
6,0.15641911,PK207,Jaffarabad,0.0,12127.33115,126304.51882,35977.21535,9586.93461,415.0857,0.0,166829.7571
7,0.3554402,PK208,Jhal Magsi,0.0,11739.93839,58010.99401,21877.63713,3535.46918,5377.3676,21435.64426,0.0
8,0.49832225,PK209,Kachhi,0.0,10126.93388,75533.84195,49121.57884,15734.87111,24068.73914,46525.18571,0.0
9,0.9434911,PK210,Kalat,0.0,13888.83549,51203.99484,14203.64396,5874.56673,9519.08696,6876.43718,59201.31064
10,2.2015545,PK211,Kech,0.0,16348.10549,64577.34891,92071.62297,39404.57053,5400.28119,65701.90416,174198.00984
11,0.7585757,PK212,Kharan,0.0,8496.7566,35972.44105,10316.34514,6369.1524,0.0,0.0,60581.15377
12,2.8262496,PK213,Khuzdar,0.0,62394.39766,174511.29339,33080.8619,24773.81546,27066.30819,17574.30129,126845.55657
13,0.28203654,PK214,Killa Abdullah,0.0,9398.01418,42495.93996,13621.07511,87226.13885,0.0,39676.57812,0.0
14,1.1710682,PK215,Killa Saifullah,0.0,20303.12974,94398.33474,13390.01804,34225.46847,0.0,52904.09895,0.0
15,0.71964014,PK216,Kohlu,0.0,10656.61918,46780.28453,28430.3471,10619.72263,0.0,14430.6656,0.0
16,1.2652731,PK217,Lasbela,0.0,30146.39448,109031.12648,15059.83164,46519.90409,0.0,43718.13277,97414.24622
17,0.30422506,PK218,Lehri,0.0,4066.4774,29978.89628,36631.39823,3389.42264,0.0,24531.50277,0.0
18,0.35663244,PK219,Loralai,0.0,11816.6421,47771.7573,11341.44895,14333.16218,0.0,0.0,63935.40737
19,0.43941626,PK220,Mastung,0.0,14589.75478,56629.09733,29259.1945,12629.84976,14642.12532,32456.46863,0.0
20,0.55652255,PK221,Musakhel,0.0,12690.6407,83597.04642,31821.23612,2739.43035,0.0,17712.31227,0.0
21,0.29746974,PK222,Nasirabad,0.0,18343.65285,121801.92771,32358.07178,7896.04457,29065.80741,0.0,63266.4977
22,0.5452673,PK223,Nushki,0.0,6923.44858,22119.28843,14562.49396,6089.0113,15056.34832,44772.41932,0.0
23,1.5951756,PK224,Panjgur,0.0,10731.26887,14857.73983,2352.53535,23371.1092,0.0,0.0,194222.7442
24,0.57322234,PK225,Pishin,0.0,20843.80231,123417.52391,55519.96835,63194.36882,69713.78986,53600.83408,60075.84358
25,0.35198358,PK226,Quetta,0.0,8176.53433,29459.23699,11313.30288,45730.764,7180.95332,23034.50329,735637.22689
26,0.29001522,PK227,Sherani,0.0,7440.82879,47667.25214,22212.11664,0.0,17920.9328,0.0,0.0
27,0.46320465,PK228,Sibi,0.0,5703.54944,12595.21808,10560.63412,5759.62011,0.0,0.0,80730.22072
28,0.072524294,PK229,Sohbatpur,0.0,3684.63247,53319.16209,30534.30706,2316.09281,10432.26507,11303.8405,0.0
29,3.573732,PK230,Washuk,0.0,10195.0233,65471.77009,32253.29494,1378.99042,0.0,0.0,17194.51592
30,1.1316906,PK231,Zhob,0.0,14014.18281,44799.78816,22712.53429,6061.03662,5690.81826,0.0,129618.03122
31,0.30705035,PK232,Ziarat,0.0,11145.94263,32940.53752,23375.17415,0.0,21787.03242,0.0,0.0
32,0.3410207,PK233,Shaheed Sikandarabad,0.0,9297.24544,39603.54517,8642.88136,9831.26578,5323.17801,30469.15433,0.0
33,0.4060931,PK234,Duki,0.0,9914.57974,32646.84475,6090.07009,15185.70733,0.0,6787.97583,58211.76147
34,0.15424407,PK235,Chaman,0.0,5445.19726,32279.6794,9579.71514,16669.23791,0.0,0.0,140083.3036
35,0.087644935,PK401,Islamabad,0.0,4182.8559,32631.40273,11402.1101,162693.5386,0.0,31317.80813,749596.02398
36,0.16018462,PK501,Abbottabad,0.0,9003.88792,100391.20876,29635.5096,164559.03155,30683.9391,75737.97521,566916.45685
37,0.13451374,PK502,Bajaur,0.0,3478.09178,64445.39798,28647.25263,255789.40855,33308.80747,179986.57077,54941.37837
38,0.19561182,PK503,Bannu,0.0,9325.38769,74608.99864,37998.21126,197336.8657,10758.10569,114917.13438,396701.97936
39,0.14627473,PK504,Batagram,0.0,6583.88318,40595.20824,6720.88118,138483.80116,0.0,48615.09191,109622.20783
40,0.17405613,PK505,Buner,0.0,15217.1027,60848.95073,34241.32377,104310.89691,5768.6085,363869.3657,0.0
41,0.0977768,PK506,Charsadda,0.0,2180.92068,38775.5641,1563.0271,434457.66936,0.0,268241.52551,442229.11726
42,0.60660887,PK507,Chitral Lower,0.0,6491.69103,34559.58783,21806.79969,30142.65979,11616.33455,29924.99316,77771.69381
43,0.8661933,PK508,Chitral Upper,0.0,4606.56891,45931.56743,36673.98991,8097.52081,49284.91523,9387.78395,0.0
44,0.8600089,PK509,D. I. Khan,0.0,43991.1726,134717.75095,169325.16465,161336.81701,33277.99,219166.03153,261385.40644
45,0.13302058,PK510,Hangu,0.0,5617.55297,42430.20906,30462.61446,52487.23138,46859.96211,93202.61849,93137.08565
46,0.19067927,PK511,Haripur,0.0,10279.08442,85449.7454,31923.53169,184626.31992,20918.69482,207602.86089,283339.53692
47,0.25592497,PK512,Karak,0.0,13465.07341,82892.90397,56061.53924,177046.44039,30690.75225,134166.31202,0.0
48,0.2679823,PK513,Khyber,0.0,11962.16439,27056.3587,13453.82912,84773.69734,2887.26354,31076.66374,437016.96763
49,0.33356827,PK514,Kohat,0.0,16577.64345,70672.40799,64898.59185,94493.09219,26454.71711,192749.16736,301618.09917
50,0.08147628,PK515,Kohistan Lower,0.0,1765.06372,22663.19809,13987.05503,44381.02919,0.0,11763.03855,50744.00338
51,0.5442638,PK516,Kohistan Upper,0.0,4725.96823,39145.6316,67334.73307,28506.75379,29499.33588,37661.40253,0.0
52,0.121457994,PK517,Kolai Palas Kohistan,0.0,1030.90328,19368.51478,18058.48643,65044.87715,24818.0643,55309.02205,4635.57971
53,0.33052105,PK518,Kurram,0.0,11842.51642,96204.23753,76013.07707,69025.74927,130357.03143,43860.76604,104741.4863
54,0.3208262,PK519,Lakki Marwat,0.0,20486.84458,87956.50747,82936.97503,77580.55518,29804.18563,126945.92318,105830.46971
55,0.15815009,PK520,Lower Dir,0.0,8884.84404,67384.72699,10274.03053,170904.51201,0.0,296157.10269,307438.37368
56,0.08893864,PK521,Malakand,0.0,6099.12832,22664.55432,16474.14303,109704.58977,0.0,181169.36544,166640.79861
57,0.39649743,PK522,Mansehra,0.0,13212.06227,120569.64092,44199.88147,335340.56359,0.0,104272.20976,503880.0553
58,0.1602755,PK523,Mardan,0.0,4466.28714,63184.22109,11716.11506,433809.34578,7049.70767,377202.13196,776905.2181
59,0.22193259,PK524,Mohmand,0.0,8289.5115,83371.19778,39391.74088,152470.57676,74447.01296,45929.00589,0.0
60,0.47539592,PK525,North Waziristan,0.0,21431.71917,94225.62673,29788.38458,93320.06961,59253.40264,115724.76149,0.0
61,0.16826107,PK526,Nowshera,0.0,8865.356,48735.90909,28612.45411,158127.06929,7004.7087,237219.67652,516776.90605
62,0.13322082,PK527,Orakzai,0.0,4047.75942,51219.93047,54172.80999,0.0,119285.87737,0.0,0.0
63,0.15006968,PK528,Peshawar,0.0,4844.42013,69635.84986,11268.71706,278619.89311,30101.51005,80764.50281,1898731.23083
64,0.13643092,PK529,Shangla,0.0,6652.88538,85381.43613,46818.48261,93210.58343,14179.04952,201956.18015,55813.29694
65,0.5960644,PK530,South Waziristan,0.0,23743.156,145516.21718,55162.75701,20915.743,153639.85267,18809.25165,51981.70723
66,0.1446983,PK531,Swabi,0.0,8187.73139,57381.62646,25639.35667,213112.15244,0.0,541532.34241,331010.7813
67,0.5296581,PK532,Swat,0.0,23871.16158,59964.84143,33364.74922,142954.46692,12094.12909,398076.51993,775100.76371
68,0.26997706,PK533,Tank,0.0,17011.17402,42113.91839,61027.28244,32703.6844,5470.52093,34074.65158,106615.74405
