,Shape_Area,ADM3_PCODE,ADM3_EN,sum_10,sum_11,sum_12,sum_13,sum_21,sum_22,sum_23,sum_30
0,0.2624879,PK20101,Awaran,0.0,2805.4453,2801.43817,3563.2913,0.0,6125.07715,0.0,0.0
1,1.098935,PK20102,Jhal Jhao,0.0,6634.71775,25653.83724,6716.46921,0.0,0.0,0.0,0.0
2,0.32362086,PK20103,Mashkai,0.0,2994.28391,11220.71481,4019.38883,0.0,0.0,0.0,0.0
3,0.5716745,PK20104,Gishekore,0.0,1463.85525,8280.25806,2013.89879,0.0,0.0,0.0,0.0
4,0.23693329,PK20503,Ormara,0.0,640.77268,8591.48948,3681.75195,0.0,0.0,0.0,0.0
5,0.39125913,PK20504,Pasni,0.0,4201.60246,13943.36571,10897.54492,0.0,6976.65413,0.0,0.0
6,1.1922878,PK21103,Kech (Turbat),0.0,10752.33049,25343.62917,6607.24072,8175.8238,0.0,0.0,111836.41598
7,0.63551825,PK21303,Naal,0.0,16151.30246,35583.52339,4048.62825,0.0,0.0,0.0,0.0
8,0.9537293,PK21304,Wadh,0.0,14287.91289,38079.18665,9035.50813,5179.74136,0.0,7929.17267,0.0
9,0.16610086,PK21701,Bela,0.0,5735.80879,32537.04475,6266.48648,0.0,24607.37621,0.0,0.0
10,0.23056172,PK21707,Uthal,0.0,7120.3752,13256.89734,6354.83322,0.0,0.0,0.0,0.0
11,0.05964338,PK21708,Lakhra,0.0,1619.05766,1555.82981,0.0,0.0,0.0,0.0,0.0
12,0.19053198,PK21709,Lairi,0.0,460.23612,772.68798,0.0,0.0,0.0,0.0,0.0
13,0.36794275,PK22401,Gowargo,0.0,2928.55828,2462.83865,0.0,0.0,0.0,0.0,0.0
14,0.407677,PK22402,Jaheen Parome,0.0,2895.87393,3611.43862,633.72926,0.0,0.0,0.0,0.0
15,0.38644093,PK22403,Panjgur,0.0,2718.91439,6225.67407,0.0,27118.603,0.0,0.0,110581.9252
16,0.43311495,PK22404,Gichk,0.0,1117.68775,729.47396,0.0,0.0,0.0,0.0,0.0
17,1.2016867,PK23003,Washuk,0.0,1728.66346,4595.98332,0.0,552.06625,0.0,0.0,9518.19258
18,0.688503,PK23004,Nag,0.0,3079.7923,18462.57496,6411.62144,0.0,0.0,0.0,0.0
19,0.21835387,PK20201,Barkhan,0.0,7568.00588,37550.7109,1517.69913,0.0,0.0,0.0,0.0
20,0.1101816,PK20202,Rakhni,0.0,5598.75366,21111.75229,0.0,0.0,0.0,0.0,0.0
21,0.23280656,PK20402,Phelawagh,0.0,3123.40176,23377.08167,8404.82174,0.0,0.0,0.0,0.0
22,0.3514626,PK21601,Kahan,0.0,3167.12611,9614.64575,6488.37952,0.0,0.0,0.0,0.0
23,0.087817565,PK21602,Kohlu,0.0,4026.06433,19220.65571,2986.73578,0.0,9045.22884,0.0,0.0
24,0.28035998,PK21603,Mawand,0.0,4656.2512,10942.57015,1723.42371,0.0,0.0,0.0,0.0
25,0.13142222,PK21902,Mekhtar,0.0,5837.92837,7844.53906,802.66785,0.0,0.0,0.0,0.0
26,0.2358037,PK22102,Kingri,0.0,4318.25758,10830.03201,2072.24605,0.0,0.0,0.0,0.0
27,0.4060931,PK23401,Duki,0.0,9895.36546,26914.43472,516.25483,13145.59576,0.0,32979.82163,0.0
28,0.5115814,PK60701,D.G Khan (Tribal Area),0.0,36283.26966,36532.36275,0.0,0.0,0.0,0.0,0.0
29,0.20631333,PK62901,Jampur,0.0,13171.31712,93897.90149,37344.53169,18736.53852,20809.16256,94094.33179,0.0
30,0.44986168,PK62903,Rajanpur (Tribal Area),0.0,5178.18331,8160.54431,0.0,3065.59799,1731.29205,4763.72465,0.0
31,1.4433655,PK20301,Dalbandin,0.0,6291.21674,18330.58956,2662.46905,4143.01826,0.0,11545.26034,0.0
32,1.4088043,PK20302,Nokkundi,0.0,510.88916,2427.13649,3701.32353,0.0,0.0,0.0,0.0
33,0.83804476,PK20303,Taftan,0.0,1422.43057,6705.52184,1300.52057,0.0,0.0,0.0,0.0
34,0.42736697,PK20304,Chagai,0.0,3149.68194,9254.84362,5981.77335,0.0,0.0,0.0,0.0
35,0.37310958,PK21201,Kharan,0.0,6058.88252,12468.17972,1071.26497,3016.55855,0.0,15388.96432,0.0
36,0.22898655,PK21202,Sar Kharan,0.0,1451.71228,1990.90687,0.0,0.0,0.0,0.0,0.0
37,0.15647954,PK21203,Tomulk,0.0,1550.14988,9428.13519,1440.77238,4728.60907,0.0,20164.05728,0.0
38,0.5452673,PK22301,Nushki,0.0,7086.53934,21063.45309,15722.88038,6830.88678,7638.21345,12558.89256,0.0
39,0.9595707,PK23001,Mashkhel,0.0,2170.20207,14593.31628,1786.90325,0.0,0.0,0.0,0.0
40,0.22122657,PK23002,Basima,0.0,1884.37119,10168.49709,714.11893,0.0,0.0,0.0,0.0
41,0.50274485,PK23005,Shaogari,0.0,1483.30638,3288.64497,0.0,0.0,0.0,0.0,0.0
42,0.28523633,PK20401,Dera Bugti,0.0,3484.39264,16008.41247,7285.50089,2817.67979,0.0,14880.11218,0.0
43,0.4347261,PK20403,Sui,0.0,4941.53476,27222.20702,7492.13847,2611.32172,0.0,7219.5252,0.0
44,0.06567167,PK20702,Jhat Pat,0.0,6287.96901,51619.76377,3604.18832,2979.46593,0.0,45248.63719,0.0
45,0.1860318,PK21802,Lehri,0.0,1769.01151,10894.43222,11236.12754,0.0,0.0,0.0,0.0
46,0.07822843,PK22201,Chattar,0.0,1488.92594,14783.52807,8612.0335,0.0,9327.63294,0.0,0.0
47,0.10299653,PK22202,Dera Murad Jamali,0.0,8953.67686,41358.38926,1817.0039,3309.44516,1628.44908,36633.35694,0.0
48,0.46320465,PK22801,Sibi,0.0,5589.02344,10281.29899,4293.38296,2332.76531,0.0,0.0,52288.31153
49,0.072524294,PK22901,Sohbatpur,0.0,4393.90852,54332.34293,23458.17631,0.0,0.0,0.0,0.0
50,0.255963,PK62904,Rojhan,0.0,15560.01069,55687.96492,24820.51725,0.0,8305.20342,15068.60954,0.0
51,0.10479271,PK71002,Kashmore,0.0,8391.83829,68064.10173,34645.86316,10595.00053,9171.11155,9499.87353,0.0
