,Shape_Area,ADM3_PCODE,ADM3_EN,sum_10,sum_11,sum_12,sum_13,sum_21,sum_22,sum_23,sum_30
0,0.2624879,PK20101,Awaran,0.0,2594.52888,2379.45696,3417.99176,0.0,5961.22831,0.0,0.0
1,1.098935,PK20102,Jhal Jhao,0.0,6513.51907,22728.29292,5181.57696,0.0,0.0,0.0,0.0
2,0.32362086,PK20103,Mashkai,0.0,3001.88923,11217.0356,1527.26798,0.0,0.0,0.0,0.0
3,0.5716745,PK20104,Gishekore,0.0,1329.95277,8205.93955,1052.98182,0.0,0.0,0.0,0.0
4,0.23693329,PK20503,Ormara,0.0,705.80862,7164.02896,3197.60832,0.0,0.0,0.0,0.0
5,0.39125913,PK20504,Pasni,0.0,3956.864,11965.96289,9475.54353,0.0,6904.96458,0.0,0.0
6,1.1922878,PK21103,Kech (Turbat),0.0,10331.85697,25742.92639,7094.80186,4056.30846,0.0,0.0,97487.99743
7,0.63551825,PK21303,Naal,0.0,15964.58776,30166.7848,3602.98157,0.0,0.0,0.0,0.0
8,0.9537293,PK21304,Wadh,0.0,14516.10065,34016.08032,6008.74871,6377.76926,0.0,5466.16307,0.0
9,0.16610086,PK21701,Bela,0.0,5584.02158,31820.61725,5979.6627,0.0,19273.40347,0.0,0.0
10,0.23056172,PK21707,Uthal,0.0,7041.88862,12016.06841,3786.10596,0.0,0.0,0.0,0.0
11,0.05964338,PK21708,Lakhra,0.0,1695.77606,1086.32734,0.0,0.0,0.0,0.0,0.0
12,0.19053198,PK21709,Lairi,0.0,582.04736,485.97727,0.0,0.0,0.0,0.0,0.0
13,0.36794275,PK22401,Gowargo,0.0,2879.50326,2239.29229,0.0,0.0,0.0,0.0,0.0
14,0.407677,PK22402,Jaheen Parome,0.0,2764.17832,3359.10707,581.49632,0.0,0.0,0.0,0.0
15,0.38644093,PK22403,Panjgur,0.0,2639.31872,5963.40248,0.0,25292.09393,0.0,42820.50581,53786.06175
16,0.43311495,PK22404,Gichk,0.0,1124.85141,571.64258,0.0,0.0,0.0,0.0,0.0
17,1.2016867,PK23003,Washuk,0.0,1832.821,3918.75151,0.0,2692.95479,0.0,5798.95482,0.0
18,0.688503,PK23004,Nag,0.0,2993.12836,17367.64517,4259.77726,0.0,0.0,0.0,0.0
19,0.21835387,PK20201,Barkhan,0.0,7526.05022,33853.25358,0.0,0.0,0.0,0.0,0.0
20,0.1101816,PK20202,Rakhni,0.0,5757.35773,18158.33108,0.0,0.0,0.0,0.0,0.0
21,0.23280656,PK20402,Phelawagh,0.0,3527.38763,20558.45716,6793.57041,0.0,0.0,0.0,0.0
22,0.3514626,PK21601,Kahan,0.0,3139.14241,8871.72153,5152.21922,0.0,0.0,0.0,0.0
23,0.087817565,PK21602,Kohlu,0.0,4113.80101,17875.72318,2515.27528,0.0,6913.34994,0.0,0.0
24,0.28035998,PK21603,Mawand,0.0,4628.93964,9509.43972,1297.62958,0.0,0.0,0.0,0.0
25,0.13142222,PK21902,Mekhtar,0.0,5661.37759,6078.45236,616.83414,0.0,0.0,0.0,0.0
26,0.2358037,PK22102,Kingri,0.0,4545.68247,9506.8328,1130.04619,0.0,0.0,0.0,0.0
27,0.4060931,PK23401,Duki,0.0,9427.38491,25293.29534,519.53435,12185.77413,0.0,26897.77438,0.0
28,0.5115814,PK60701,D.G Khan (Tribal Area),0.0,34862.06941,26515.97363,0.0,0.0,0.0,0.0,0.0
29,0.20631333,PK62901,Jampur,0.0,13384.03583,85116.57636,36620.86771,11561.52554,8335.12053,79332.31653,0.0
30,0.44986168,PK62903,Rajanpur (Tribal Area),0.0,4998.49308,7011.5609,2433.68923,0.0,2282.02587,0.0,0.0
31,1.4433655,PK20301,Dalbandin,0.0,5898.12753,17569.1302,2025.08141,0.0,13204.44818,0.0,0.0
32,1.4088043,PK20302,Nokkundi,0.0,460.8174,2253.13599,3475.00144,0.0,0.0,0.0,0.0
33,0.83804476,PK20303,Taftan,0.0,1303.41368,6831.20567,0.0,0.0,0.0,0.0,0.0
34,0.42736697,PK20304,Chagai,0.0,2969.38936,8772.87926,4336.09032,0.0,0.0,0.0,0.0
35,0.37310958,PK21201,Kharan,0.0,5936.54642,10233.06852,941.34566,6931.28785,0.0,9683.49334,0.0
36,0.22898655,PK21202,Sar Kharan,0.0,1513.80088,1530.07991,0.0,0.0,0.0,0.0,0.0
37,0.15647954,PK21203,Tomulk,0.0,1831.85809,7899.61649,1296.33595,5604.79184,0.0,16770.73872,0.0
38,0.5452673,PK22301,Nushki,0.0,7086.522,18854.11459,14980.60389,0.0,22223.35869,0.0,0.0
39,0.9595707,PK23001,Mashkhel,0.0,2306.34441,12669.98444,1530.20871,0.0,0.0,0.0,0.0
40,0.22122657,PK23002,Basima,0.0,1868.72039,8957.65146,660.56728,0.0,0.0,0.0,0.0
41,0.50274485,PK23005,Shaogari,0.0,1405.12497,2841.69563,0.0,0.0,0.0,0.0,0.0
42,0.28523633,PK20401,Dera Bugti,0.0,3287.19745,15689.72918,7418.79262,2818.08624,0.0,10663.62934,0.0
43,0.4347261,PK20403,Sui,0.0,4912.83036,25314.57757,8445.75563,0.0,0.0,5127.77927,0.0
44,0.06567167,PK20702,Jhat Pat,0.0,7021.64296,44955.24928,2970.1977,2093.28003,0.0,40704.90231,0.0
45,0.1860318,PK21802,Lehri,0.0,1708.70535,11366.86006,8256.70291,0.0,0.0,0.0,0.0
46,0.07822843,PK22201,Chattar,0.0,1639.68943,15529.97485,13083.21168,0.0,0.0,0.0,0.0
47,0.10299653,PK22202,Dera Murad Jamali,0.0,9791.21601,37032.55668,1660.22578,2286.16279,0.0,32644.6145,0.0
48,0.46320465,PK22801,Sibi,0.0,5484.44677,8491.52807,3426.61248,4036.06714,0.0,45181.09461,0.0
49,0.072524294,PK22901,Sohbatpur,0.0,4614.15049,53292.61343,15331.75745,0.0,0.0,0.0,0.0
50,0.255963,PK62904,Rojhan,0.0,16671.50486,47101.70018,22109.1372,0.0,2077.92497,12859.1449,0.0
51,0.10479271,PK71002,Kashmore,0.0,8820.73618,65847.48735,30967.19571,3129.62175,11803.40394,0.0,0.0
52,0.07667461,PK71003,Tangwani,0.0,6138.54245,64480.18327,19360.06756,6163.36873,10299.82015,4644.38943,0.0
53,0.21058606,PK20501,Gwadar,0.0,1603.6849,4494.92581,4359.21446,2729.76185,0.0,44022.25348,0.0
54,0.03392978,PK20502,Jiwani,0.0,228.15653,756.12169,3551.23009,0.0,0.0,0.0,0.0
55,0.16567382,PK20505,Sunster,0.0,558.10105,910.00789,0.0,0.0,0.0,0.0,0.0
56,0.22170858,PK21102,Dasht,0.0,710.21275,6897.60445,10892.70845,0.0,0.0,0.0,0.0
57,0.18356764,PK21104,Mand,0.0,1707.43946,7102.70774,10713.78802,0.0,11064.86989,0.0,0.0
58,0.15104204,PK20601,Harnai,0.0,3702.58277,13987.32322,3339.05934,2766.33027,0.0,6533.38137,0.0
59,0.13570677,PK20602,Shahrigh,0.0,3225.07797,13827.62624,2259.99246,0.0,0.0,0.0,0.0
60,0.15445969,PK20902,Mach,0.0,2551.9853,8783.21807,775.82755,0.0,7211.8509,0.0,0.0
61,0.22521022,PK21901,Loralai,0.0,7706.39463,22097.75177,5641.2992,3473.11056,0.0,34831.95708,0.0
62,0.16058783,PK22001,Dasht Spenzend,0.0,4366.98354,7512.10036,1003.41639,0.0,0.0,0.0,0.0
63,0.12946573,PK22602,Quetta City,0.0,3308.42316,14445.02818,3834.04657,52209.50111,0.0,65403.71455,199282.22506
64,0.11225551,PK22603,Quetta Saddar,0.0,3457.61789,5970.89908,1859.72273,4357.86715,6127.9499,7711.63158,13418.25242
65,0.17149459,PK23201,Sinjawi,0.0,9153.83769,11425.36948,9523.0574,0.0,0.0,0.0,0.0
66,0.13555576,PK23202,Ziarat,0.0,3054.93816,10592.57096,7639.26367,0.0,0.0,0.0,0.0
67,0.049305398,PK20701,Gandakha,0.0,4818.46815,20132.59524,2141.88736,0.0,0.0,0.0,0.0
68,0.041442048,PK20703,Usta Mohammad,0.0,3855.60527,36907.08689,7616.51213,9528.19973,0.0,14194.10106,0.0
69,0.18838659,PK20801,Gandawa,0.0,5687.30677,18515.91954,5761.16813,0.0,0.0,0.0,0.0
70,0.1670536,PK20802,Jhal Magsi,0.0,7255.31887,23960.98907,9351.29786,0.0,0.0,0.0,0.0
71,0.11624476,PK22203,Tamboo,0.0,11723.45708,30724.80312,1591.5091,0.0,0.0,0.0,0.0
72,0.06731115,PK70701,Garhi Khairo,0.0,6034.85376,47751.15887,7513.82332,0.0,0.0,0.0,0.0
73,0.062437583,PK70702,Jacobabad,0.0,4107.36582,51098.2608,25557.45811,12715.98351,0.0,43216.40667,0.0
74,0.09465822,PK70904,Qubo Saeed Khan,0.0,3672.30066,29569.36593,7941.2916,0.0,0.0,0.0,0.0
75,0.041011106,PK70905,Shahdad Kot,0.0,2646.73379,30737.62389,21618.95253,0.0,0.0,0.0,0.0
76,0.05406435,PK71304,Rato Dero,0.0,4427.90108,37688.95419,21870.8408,5493.61302,13070.90998,31521.18376,0.0
77,0.086461276,PK72001,Garhi Yasin,0.0,6403.22228,54770.99099,39820.66675,1769.17137,5287.54705,8937.88467,0.0
78,0.050856054,PK72004,Shikarpur,0.0,4607.01828,31517.53319,14203.25222,2289.6727,0.0,0.0,82430.82973
79,0.1456725,PK20903,Sanni,0.0,2640.22419,21603.43612,11540.167,0.0,0.0,0.0,0.0
80,0.8361614,PK21001,Kalat,0.0,12120.44266,20593.9035,4473.81538,5635.98594,0.0,23613.23465,0.0
81,0.51769334,PK21301,Khuzdar,0.0,19060.67423,28326.14095,1912.11692,5652.10371,0.0,0.0,64772.58015
82,0.41640502,PK21302,Mola,0.0,7589.22069,8265.67744,0.0,0.0,0.0,0.0,0.0
83,0.30290377,PK21305,Zehri,0.0,4374.99765,6902.78538,6350.57719,0.0,0.0,0.0,0.0
84,0.118193254,PK21801,Bhag,0.0,2204.82523,12983.34789,15292.38169,0.0,5205.6108,0.0,0.0
85,0.079955086,PK20901,Dhadar,0.0,2321.2265,12763.1041,4212.73205,3729.73166,0.0,7103.76845,0.0
86,0.07628398,PK20904,Balanari,0.0,2673.09984,16423.44027,5087.73735,0.0,0.0,0.0,0.0
87,0.041951012,PK20905,Khattan,0.0,819.11948,7935.15557,9413.43023,0.0,0.0,0.0,0.0
88,0.10732968,PK21002,Khaliqabad,0.0,2580.6359,16870.4357,7008.63283,0.0,0.0,0.0,0.0
89,0.11374243,PK22002,Kirdgap,0.0,3882.33414,4863.8639,0.0,0.0,0.0,0.0,0.0
90,0.16508599,PK22003,Mastung,0.0,6479.274,30524.54865,12883.17461,9719.40571,5885.2633,6193.90763,0.0
91,0.3410207,PK23301,Surab,0.0,9620.95907,28542.76957,11885.4097,0.0,9271.20106,0.0,0.0
92,0.33614615,PK21101,Buleda,0.0,2717.36483,12226.77253,30719.41604,0.0,0.0,0.0,0.0
93,0.2678444,PK21105,Tump,0.0,1012.88928,3132.04841,6417.74036,1376.63905,0.0,12467.93058,0.0
94,0.30226934,PK21702,Dureji,0.0,6362.31489,13314.13858,0.0,0.0,0.0,0.0,0.0
95,0.09018961,PK21705,Kanraj,0.0,1731.29158,2746.70822,0.0,0.0,0.0,0.0,0.0
96,0.3289402,PK70302,Johi,0.0,9663.94227,39191.31814,8165.70243,1505.88152,0.0,46754.01861,0.0
97,0.23765193,PK70303,Khairpur Nathan Shah,0.0,3742.10901,34791.96269,30695.19395,8470.10536,0.0,50621.62201,0.0
98,0.47167736,PK70804,Thano Bula Khan,0.0,18407.52766,11721.77551,3833.61613,531.52768,7008.29152,10548.06707,0.0
99,0.20413734,PK70903,Qambar Ali Khan,0.0,6458.09257,38356.40166,28192.91905,465.45479,554.42921,0.0,55688.3269
100,0.123347595,PK21402,Dobandi,0.0,5466.15076,6543.97488,0.0,0.0,0.0,0.0,0.0
101,0.0711759,PK21403,Gulistan,0.0,898.44523,1854.42316,0.0,0.0,0.0,0.0,0.0
102,0.08751302,PK21404,Killa Abdullah,0.0,3952.35489,19601.64298,19231.64484,34666.74223,11542.1478,5553.551,0.0
103,0.20019545,PK22501,Barshore,0.0,7116.28731,32136.98334,5026.34197,0.0,16418.51903,0.0,0.0
104,0.040915016,PK22502,Huramzai,0.0,1356.4505,2974.52193,0.0,11806.96694,0.0,0.0,0.0
105,0.14510076,PK22503,Karezat,0.0,7187.42118,22094.96805,10213.40808,1641.56331,332.57243,6769.25974,0.0
106,0.059803404,PK22504,Pishin,0.0,4068.33294,21534.87152,12940.22882,4971.56989,0.0,55218.56402,0.0
107,0.12720773,PK22505,Saranan,0.0,4215.3597,14694.21832,7037.68189,3171.33703,5424.61979,0.0,0.0
108,0.11026235,PK22601,Panjpai,0.0,1074.97819,597.2969,0.0,0.0,0.0,0.0,0.0
109,0.15424407,PK23501,Chaman,0.0,5785.70665,17467.64488,3588.62357,7106.25231,0.0,0.0,82661.13244
110,0.81368524,PK21501,Killa Saifullah,0.0,14435.41643,35818.23646,4836.62046,2444.35174,0.0,5668.36037,0.0
111,0.35738295,PK21502,Muslim Bagh,0.0,8603.8469,26601.7673,7757.8414,3244.46808,0.0,15015.2497,0.0
112,0.41270223,PK23101,Kakar Khurasan,0.0,769.52899,6062.83992,8470.20668,0.0,0.0,0.0,0.0
113,0.7189884,PK23102,Zhob,0.0,13997.39696,33978.03216,5358.35012,2941.86631,0.0,0.0,57974.98622
114,0.041437533,PK21703,Gaddani,0.0,2657.42915,3822.3841,587.77318,6579.09609,0.0,0.0,10639.86642
115,0.04599442,PK21704,Hub,0.0,1688.69373,3881.23904,0.0,2032.44316,0.0,0.0,42051.74287
116,0.13854423,PK21706,Sonmiani,0.0,4611.33026,3127.03422,2063.52661,0.0,0.0,0.0,0.0
117,0.0015074718,PK70201,Gulberg Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301031.08074
118,0.00080716965,PK70202,Liaqatabad Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166610.55681
119,0.00210736,PK70203,New Karachi Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304252.18849
120,0.0014011225,PK70204,North Nazimabad Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264852.28995
121,0.011603464,PK70401,Gulshan Iqbal Town,0.0,817.61495,7634.12159,2084.02702,9584.22508,0.0,5293.07209,101172.63934
122,0.0065336325,PK70402,Jamshaid Town,0.0,12.80111,628.61642,0.0,1510.42757,0.0,0.0,706197.158
123,0.06586897,PK71401,Bin Qasim Town,0.0,2740.53448,8470.51904,6412.68783,19688.04826,0.0,13676.91323,89263.10924
124,0.17664152,PK71402,Gadap Town,0.0,7438.53904,8899.39019,4965.14382,5803.74064,0.0,0.0,0.0
125,0.0015616702,PK71403,Malir Town,0.0,63.34676,112.84653,0.0,1289.14753,0.0,0.0,106407.97446
126,0.03671876,PK72101,Kemari Town,0.0,1794.98153,3235.90302,413.35308,9111.1418,0.0,0.0,32950.24556
127,0.001978703,PK72901,Baldia Town,0.0,93.5486,0.0,0.0,2347.73978,0.0,0.0,163787.39413
128,0.017426426,PK72902,Orangi Town,0.0,1169.67981,3915.73328,1080.60592,6886.5056,0.0,0.0,399604.58769
129,0.0022146243,PK72903,Site Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352755.80991
130,0.12072786,PK22101,Drug,0.0,4187.50955,23312.2988,4929.70553,0.0,5495.04196,0.0,0.0
131,0.19999096,PK22103,Musakhel,0.0,6368.52863,23776.92104,1951.59415,0.0,0.0,0.0,0.0
132,0.29001522,PK22701,Sherani,0.0,8123.69821,34601.66934,12401.65882,0.0,0.0,0.0,0.0
133,0.15760739,PK50906,Darazinda,0.0,6587.94685,8672.58333,5292.51812,0.0,0.0,0.0,0.0
134,0.04817882,PK53007,Toi Khulla,0.0,1702.55697,6019.02052,7413.27576,0.0,0.0,0.0,0.0
135,0.21397978,PK53008,Wana,0.0,7447.56088,11437.53063,0.0,5156.73218,0.0,22712.89595,0.0
136,0.11760897,PK70703,Thul,0.0,7708.77655,108185.17079,47273.66944,3926.31699,0.0,5645.4498,0.0
137,0.087644935,PK40101,Islamabad,0.0,6695.27086,33303.52417,21852.4038,90604.33736,19066.11782,61627.87136,48257.91479
138,0.041508358,PK51103,Khanpur,0.0,4155.8028,12332.13844,3783.53781,1763.36586,5198.47303,0.0,0.0
