,Shape_Area,ADM3_PCODE,ADM3_EN,sum_10,sum_11,sum_12,sum_13,sum_21,sum_22,sum_23,sum_30
0,0.2624879,PK20101,Awaran,0.0,2635.67209,4212.38661,3846.17243,14772.0457,0.0,6275.78091,0.0
1,1.098935,PK20102,Jhal Jhao,0.0,6005.93842,38983.15896,19055.8519,0.0,0.0,0.0,0.0
2,0.32362086,PK20103,Mashkai,0.0,3192.12089,14627.26337,8665.80529,0.0,1366.28645,0.0,0.0
3,0.5716745,PK20104,Gishekore,0.0,1074.43625,12565.45753,8164.11701,0.0,0.0,0.0,0.0
4,0.23693329,PK20503,Ormara,0.0,462.62253,7916.29124,7611.10607,2438.33638,0.0,13609.05737,0.0
5,0.39125913,PK20504,Pasni,0.0,3649.0554,10282.95354,13393.57552,8192.19973,7267.5328,7544.94445,0.0
6,1.1922878,PK21103,Kech (Turbat),0.0,9966.97439,41273.98404,31585.69273,11593.39041,5530.43141,0.0,183781.59994
7,0.63551825,PK21303,Naal,0.0,15308.18747,59392.956,8884.43434,4616.26149,0.0,8386.00597,0.0
8,0.9537293,PK21304,Wadh,0.0,14384.90974,49273.50493,9345.2623,26469.84735,8473.80452,20010.9919,0.0
9,0.16610086,PK21701,Bela,0.0,4869.15474,40458.44855,8918.73907,28456.11899,0.0,22637.57131,0.0
10,0.23056172,PK21707,Uthal,0.0,6216.51425,19589.20096,1575.63665,15052.1781,0.0,19499.47367,0.0
11,0.05964338,PK21708,Lakhra,0.0,1363.29309,2951.7497,0.0,0.0,0.0,0.0,0.0
12,0.19053198,PK21709,Lairi,0.0,363.20174,1454.29936,0.0,0.0,0.0,0.0,0.0
13,0.36794275,PK22401,Gowargo,0.0,3008.71709,5165.9403,834.87936,0.0,0.0,0.0,0.0
14,0.407677,PK22402,Jaheen Parome,0.0,3454.14734,5868.58216,1266.29006,0.0,0.0,0.0,0.0
15,0.38644093,PK22403,Panjgur,0.0,2521.6187,6939.6685,1379.64399,28011.06385,0.0,0.0,214154.46218
16,0.43311495,PK22404,Gichk,0.0,1188.22124,1203.98609,0.0,0.0,0.0,0.0,0.0
17,1.2016867,PK23003,Washuk,0.0,1751.18276,8012.15728,1373.22637,2302.44693,0.0,0.0,17686.71389
18,0.688503,PK23004,Nag,0.0,2983.79294,20631.8501,13956.32045,0.0,4297.49132,0.0,0.0
19,0.21835387,PK20201,Barkhan,0.0,6555.46672,44164.1565,10967.74212,1024.77038,0.0,15673.56665,0.0
